tweet_id,writer,post_date,body,comment_num,retweet_num,like_num,polarity_spacy
1140792965146615808,Trumpery45,2019-06-18,Every week it seems there is a new 2020 EV announced. The new Renault ZOE (best selling EU EV) has more range than the $tsla model 3 SR+ (as it has a 52kwh battery but is smaller and lighter) and has a completely updated interior.,1,2,5,0.31212121212121213
1141606882227806208,MarketCurrents,2019-06-20,$GOOG $GOOGL $RNLSY - Waymo partners with Renault-Nissan alliance,0,0,0,0.0
1141612896742518790,ReutersBiz,2019-06-20,"French automaker Renault, its Japanese partner Nissan and tech giant Alphabet’s Waymo exploring driverless services in France, Japan https://reut.rs/2XhxJLd by @plienert @Laurence_Frost $RENA $GOOGL",0,2,4,0.0
1141638437197537280,zone_202,2019-06-20,"“*Alphabet's Waymo to Join With Renault, Nissan to Explore Driverless Services in France and Japan*”$TSLA $TSLAQ",0,1,1,0.0
1141638971530928129,TowelieTrades,2019-06-20,"RT stock_family: Waymo partners with Renault-Nissan alliance https://seekingalpha.com/news/3472571?source=ansh… $GOOG, $GOOGL, $RNLSY, $NSANY, $MMTOY, $NSANF, $MMTOF, $RNSDF  Follow #flow & Join BlackBox, trial 6/17 http://bit.ly/blackboxstockstrial…  #stockoptions #stocktrading #stocks #options #stockmarket…",0,0,0,0.0
1141654218757103621,Chart_Guy,2019-06-20,$GOOG $GOOGL $RNLSY - Waymo partners with Renault-Nissan alliance,0,1,0,0.0
1141658799754960896,ReutersBiz,2019-06-20,"French automaker Renault, its Japanese partner Nissan and tech giant Alphabet’s Waymo exploring driverless services in France, Japan https://reut.rs/2Xp3jqj via @plienert @Laurence_Frost $RENA $GOOGL",1,2,3,0.0
1141664555455660032,markbspiegel,2019-06-20,"""Renault, Nissan partner with Waymo for self-driving vehicles"" https://europe.autonews.com/automakers/renault-nissan-partner-waymo-self-driving-vehicles…MEANWHILE OVER IN $TSLA-LAND, YET ANOTHER PRIMARY AUTONOMY ENGINEER QUIT LAST WEEK.",0,2,21,0.2
1141664572077686785,chigrl,2019-06-20,$GOOGL >>#Waymo teams up with #Renault and #Nissan on robotaxis outside UShttps://apnews.com/272d24a6962141048adfea46e4a9964d…,0,1,3,0.0
1141669453442273281,LibertyRPF,2019-06-20,"""Waymo to Study Driverless Services With Renault-Nissan Alliance"" (in France and Japan) $GOOG",0,1,2,0.0
1141669525290487808,theflynews,2019-06-20,"Renault, Nissan, Waymo partner to explore #driverless mobility services $RNSDF $NSANY $GOOG $GOOGL https://bit.ly/2MYJOAW",0,1,0,0.0
1141731964061249536,passthebeano,2019-06-20,"$TSLA $TSLAQ $GOOGL""Group Renault and Nissan sign exclusive Alliance deal with Waymo to explore driverless mobility service""",0,0,1,0.0
1141732202176102400,whowill,2019-06-20,"Renault, Nissan to Partner With Waymo on Driverless Cars $googl",0,0,0,0.0
1141737566057709571,MemesOfMars,2019-06-20,"Mitsubishi Outlander PHEV Was #1 EV In Germany In May, Renault Zoe New Leader In 2019 https://buff.ly/2NbiU9d $TSLA $TSLAQ #TESLA #EMHiveMind",0,0,0,0.13636363636363635
1141816087853580292,FilmProfessor9,2019-06-20,#Waymo-strikes-deal-with-Nissan/Renault$GOOGL,1,0,1,0.0
